ward,pixel_count,mean,median,min,max
145,1685,50.35494613647461,50.401458740234375,44.77880859375,55.196929931640625
154,1314,49.217933654785156,49.29913330078125,45.496612548828125,52.182220458984375
144,1532,49.6412353515625,49.880218505859375,43.732879638671875,54.971343994140625
152,1778,49.02537155151367,49.16412353515625,42.700653076171875,53.4400634765625
049,865,49.2081298828125,49.30426025390625,47.492706298828125,50.671478271484375
050,1710,49.20086669921875,49.461517333984375,37.918853759765625,53.1734619140625
143,2890,48.9151496887207,48.84796142578125,45.12060546875,53.1119384765625
110,2293,46.71245193481445,46.822784423828125,42.748504638671875,51.067962646484375
052,1141,49.16457748413086,49.27691650390625,40.68402099609375,52.366790771484375
054,659,49.28804397583008,49.25299072265625,46.108428955078125,51.512298583984375
055,633,49.54823303222656,49.516204833984375,46.819366455078125,51.399505615234375
057,1014,49.80729293823242,49.798187255859375,46.645050048828125,51.399505615234375
058,2888,48.80683517456055,49.05474853515625,44.51220703125,52.6026611328125
059,3124,47.94628143310547,48.275421142578125,37.307037353515625,51.754974365234375
060,5648,45.96512985229492,48.094268798828125,31.188751220703125,53.935699462890625
199,8971,47.42460632324219,47.933624267578125,34.258148193359375,60.498260498046875
051,451,49.31774139404297,49.42730712890625,46.915069580078125,51.115814208984375
053,952,48.543601989746094,48.61041259765625,42.618621826171875,52.5513916015625
193,2310,48.95456314086914,48.95220947265625,39.815826416015625,56.495758056640625
019,4570,46.39402389526367,46.604034423828125,36.8660888671875,54.185211181640625
130,1340,49.7108039855957,49.700775146484375,46.976593017578125,52.083099365234375
136,1320,47.68611526489258,47.605499267578125,43.903778076171875,55.832672119140625
131,1160,48.24047088623047,48.220733642578125,46.173370361328125,51.238861083984375
129,2113,49.04763412475586,48.98980712890625,45.793975830078125,52.5582275390625
138,1406,48.207763671875,48.58648681640625,41.425750732421875,51.464447021484375
127,4268,49.39105987548828,49.23419189453125,42.099090576171875,54.998687744140625
133,2046,47.68355941772461,47.677276611328125,44.57373046875,50.551849365234375
141,866,48.353919982910156,48.429229736328125,45.616241455078125,50.517669677734375
134,1052,48.290645599365234,48.323272705078125,46.217803955078125,50.432220458984375
041,987,50.02922439575195,50.117767333984375,46.306671142578125,54.386871337890625
040,1190,49.95637130737305,49.912689208984375,44.60791015625,55.713043212890625
037,4561,49.23861312866211,49.38287353515625,33.902679443359375,57.56903076171875
044,768,49.41065979003906,49.38287353515625,47.779815673828125,51.071380615234375
048,530,49.895137786865234,49.883636474609375,47.786651611328125,53.1461181640625
042,1207,50.033451080322266,49.916107177734375,47.786651611328125,52.8214111328125
174,3847,43.94136428833008,45.212890625,32.74053955078125,54.349273681640625
047,692,49.533058166503906,49.781097412109375,44.078094482421875,51.837005615234375
045,1262,49.30735397338867,49.458099365234375,45.28125,51.795989990234375
034,2720,49.72135925292969,49.461517333984375,43.657684326171875,55.388336181640625
035,1874,50.0396728515625,50.015228271484375,47.954132080078125,52.6163330078125
036,1529,49.51128005981445,49.44097900390625,45.694854736328125,53.816070556640625
010,587,46.4104118347168,46.470733642578125,44.238739013671875,48.50445556640625
186,2655,48.33381271362305,48.48394775390625,38.978424072265625,51.437103271484375
011,696,42.779441833496094,45.289794921875,30.433380126953125,47.636260986328125
002,3228,43.86844253540039,44.575439453125,33.444671630859375,57.32635498046875
003,3472,43.030418395996094,43.594451904296875,31.715118408203125,51.461029052734375
005,2564,44.74793243408203,45.973419189453125,31.554473876953125,57.620330810546875
007,8529,46.084312438964844,46.446807861328125,33.827484130859375,54.868804931640625
008,674,45.874977111816406,46.409210205078125,31.691192626953125,51.543060302734375
009,660,42.113525390625,46.011016845703125,30.549591064453125,48.347198486328125
096,3052,47.74864959716797,47.643096923828125,37.0916748046875,55.883941650390625
014,739,42.784454345703125,46.583526611328125,30.655548095703125,51.508880615234375
027,4051,45.84734344482422,46.371612548828125,34.699066162109375,53.0982666015625
028,1451,51.66628646850586,51.549896240234375,46.245147705078125,59.671112060546875
021,2079,48.21664810180664,48.364288330078125,39.286041259765625,52.260833740234375
078,747,49.818931579589844,49.813568115234375,47.434600830078125,51.925872802734375
081,1848,50.18397521972656,50.225433349609375,42.085418701171875,52.9239501953125
146,1192,50.65068435668945,50.984222412109375,42.526336669921875,53.638336181640625
153,2514,47.20393753051758,48.90606689453125,36.5311279296875,52.7427978515625
089,1094,49.15549087524414,49.09576416015625,45.715362548828125,52.329193115234375
056,630,49.75905990600586,49.897308349609375,47.099639892578125,51.498626708984375
029,2534,50.20518493652344,50.237396240234375,41.965789794921875,58.064666748046875
026,2387,48.053688049316406,48.79498291015625,41.24798583984375,54.256988525390625
128,1770,49.432769775390625,49.458099365234375,43.073211669921875,52.219818115234375
184,3462,49.32600021362305,49.42559814453125,41.326629638671875,56.082183837890625
033,757,49.99972152709961,50.093841552734375,46.853546142578125,51.512298583984375
061,2456,47.50104522705078,47.314971923828125,44.108856201171875,51.782318115234375
024,3014,51.71720504760742,51.647308349609375,37.594146728515625,56.96405029296875
023,4621,50.62018585205078,50.944915771484375,40.29095458984375,56.212066650390625
132,1219,47.767852783203125,47.766143798828125,45.486358642578125,50.073333740234375
031,2765,49.271087646484375,50.568939208984375,35.174163818359375,59.141326904296875
137,1800,48.45123291015625,48.48223876953125,42.786102294921875,57.04608154296875
013,526,47.707515716552734,47.429473876953125,45.763214111328125,51.177337646484375
046,1600,49.88078308105469,50.304046630859375,42.974090576171875,55.754058837890625
168,3950,47.955177307128906,48.114776611328125,40.36956787109375,52.7359619140625
030,3438,46.792972564697266,49.702484130859375,34.470062255859375,55.825836181640625
139,803,48.046058654785156,48.384796142578125,41.480438232421875,50.401458740234375
181,1797,48.4609489440918,48.384796142578125,45.322265625,52.414642333984375
191,4629,45.969303131103516,47.824249267578125,34.890472412109375,54.639801025390625
142,1196,48.79484176635742,49.06158447265625,42.140106201171875,51.136322021484375
140,840,49.084068298339844,49.15728759765625,45.793975830078125,51.184173583984375
135,1645,47.86321258544922,47.742218017578125,44.666015625,51.655853271484375
188,3797,49.35408020019531,49.27008056640625,40.64642333984375,56.119781494140625
187,1101,47.26369857788086,48.56597900390625,36.8455810546875,50.650970458984375
068,1546,48.92003631591797,48.89068603515625,45.961456298828125,51.471282958984375
065,2089,49.72746276855469,49.721282958984375,41.685516357421875,53.4298095703125
091,1348,49.58544921875,49.500823974609375,45.500030517578125,54.151031494140625
006,1534,46.07938766479492,46.342559814453125,38.359771728515625,49.926361083984375
039,1155,49.27033233642578,49.21881103515625,45.920440673828125,53.778472900390625
161,880,49.063507080078125,49.01715087890625,45.981964111328125,51.529388427734375
160,744,50.450645446777344,50.305755615234375,48.43951416015625,54.308258056640625
043,1100,50.374366760253906,50.396331787109375,43.114227294921875,53.4161376953125
196,1727,47.15774154663086,47.974639892578125,37.607818603515625,52.7667236328125
022,2393,47.86375045776367,48.142120361328125,40.246490478515625,53.1837158203125
017,7411,47.20783233642578,47.386749267578125,36.114105224609375,56.430816650390625
195,2763,47.78304672241211,48.114776611328125,40.36956787109375,52.277923583984375
170,3007,45.41880798339844,45.715362548828125,36.3773193359375,51.519134521484375
113,1874,47.38309860229492,47.304718017578125,45.462432861328125,50.466400146484375
109,1045,48.05546569824219,48.148956298828125,45.411163330078125,50.261322021484375
117,1475,46.97893524169922,46.891143798828125,44.78564453125,49.468353271484375
111,3016,47.16258239746094,46.991973876953125,42.129852294921875,52.5274658203125
038,1996,48.92964172363281,49.12652587890625,42.434051513671875,53.819488525390625
001,1896,41.44232940673828,42.731414794921875,32.52520751953125,49.475189208984375
025,4431,52.208003997802734,52.011322021484375,41.603485107421875,59.756561279296875
032,5506,50.173377990722656,50.473236083984375,33.844573974609375,56.567535400390625
